name,lat,lon
Agarwal Family Foundation,33.759409,-118.357874
Aggarwal & Gupta Family Foundation Inc,28.48792,-81.4415286
Agrawal Family Foundation,25.9776926,-80.2824223
Akhand Param Dham of America,36.86217159681982,-75.97973942756654
Ambedkar-Phule Network of American Dalits and Bahujans,37.25535348306562,-121.91704273223878
American Hindu Coalition,38.95163251921472,-77.52923011779787
American Hindu Federation,34.027613291291274,-117.8112030029297
Americans4Hindus,37.99761266994059,-122.52872586250307
Arsha Vidya Gurukalam,40.88787118330746,-75.3137254714966
Arya Pratinidhi Sabha America,42.6075,-83.1499
Asian American Hotel Owners Association,33.9350926,-84.3524222
Bay Area Vaishnav Parivar,37.4243752,-121.9560657
Bharati Tamil Sangam,37.5285996,-121.9189453
Bharat Swabhiman Overseas,29.6198404,-95.6113344
Bhutada Family Foundation,29.71343891206903,-95.63171625137329
California Parents for the Equalization of Educational Materials,37.5042267,-121.9643745
Coalition of Hindus of North America,33.9829758,-84.4254865
DBM Family Foundation,38.8341521,-77.6625582
Deshpande Family Foundation,28.484515,-81.4584705
Dharma Civilization Foundation,34.266325,-118.5468508
Educators Society for the Heritage of India,40.3437038,-74.2702144
Ekal Vidyalaya Foundation of USA,29.7461902,-95.6049489
FACT USA,39.0163559,-76.9380964
Federation of Hindu Associations,33.999807,-117.812974
Federation of Indian Associations,40.7487752,-73.8916244
Forum for Hindu Awakening,39.9241516,-74.9499966
Global Foundation for Civilisational Harmony,28.5448549,-81.2516706
Global Hindu Foundation Inc,33.7473434,-117.817443
Global Hindu Heritage Foundation,33.177628060877325,-96.7480731010437
Global Indian Business Council,33.6614126,-84.3832536
Global Indians for Bharat Vikas,42.7024379,-71.1308796
Himalayan Academy,22.0577817,-159.392915
Hindu American Foundation,39.9502288338121,-75.16433715820314
Hindu American PAC of Florida,26.1200615,-80.3103761
Hindu American PAC of NY,41.1101287,-73.9934249
Hindu American Political Action Committee,29.7461902,-95.6049489
Hindu American Seva Communities,39.1439689,-77.2016062
Hindu Charities for America,30.52347055662566,-97.76790261268617
Hindu Charity Trust of Texas,29.9429693,-95.7080468
Hindu Collective Initiative of North America,40.2970872,-74.3583989
Hindu Heritage Endowment,22.0577817,-159.392915
Hinduism Today,22.0577817,-159.392915
HinduPACT,41.7881008,-88.4257347
Hindu Society of America,29.7081717,-95.7616853
Hindu Society of Minnesota,45.1465158,-93.5114931
Hindus of Georgia,34.0572775,-84.1293827
Hindus of Greater Houston,29.7133594,-95.6316699
Hindu Students Council,40.38496067454852,-74.29305374622346
Hindu Swayamsevak Sangh (USA),40.9077019,-74.5399659
Hindu Temple of The Woodlands,30.180592,-95.5447621
Hindu University of America,28.487856,-81.4416962
India Development and Relief Fund,39.0377629,-77.1183988
Indian American Intellectual Forum,40.7452299,-73.88256
Indian Business Association,40.572154,-74.3157672
Infinity Foundation,40.35085320307971,-74.65612292289735
Kashmiri Overseas Association USA,40.74647289895343,-73.9856243133545
Kerala Hindus of North America,33.45,-111.97
Keshav Smruti,29.71336406212845,-95.63173770904541
Krishnamurthy Tandon Foundation,40.7573261,-73.9827154
Overseas Friends of the BJP (USA),38.95059389347923,-77.41000056266786
Param Shakti Peeth of America,33.777771,-118.3856772
Patanjali Yogpeeth Foundation Inc,29.6198404,-95.6113344
Puran Devi Aggarwal Family Foundation,28.48792,-81.4415286
Republican Hindu Coalition,41.9126098,-88.1106144
Sanatana Dharma Foundation,32.9940675,-96.7851265
Sewa International (USA),29.7461902,-95.6049489
Subhash and Sarojini Gupta Charitable Foundation,29.59393671373467,-95.67433118820192
Support a Child USA,39.355563457927545,-84.31182861328125
Swami Vivekananda Yoga Anusandhana Samsthana USA,29.7253361,-95.6773512
Texas India Forum,29.67136801803171,-95.64066410064699
The Vedic Foundation,30.1561629,-97.9570471
Tulasi Bai Somani Educational Fund,39.777843,-89.7251462
Uberoi Foundation for Religious Studies,39.7708624,-104.9787712
United States Hindu Alliance,33.9309105,-84.2622838
US India Friendship Council,41.89679,-88.1199099
US India PAC,38.946284522360365,-77.34290242195131
US India Strategic Partnership Forum,38.9049826,-77.0542575
Vikasan Foundation,43.0866367,-77.4908895
Vishwa Hindu Parishad of America,41.7881008,-88.4257347
World Association for Vedic Studies,34.056108330870885,-84.21151399612428
World Hindu Council Inc,40.5245345,-74.5820554
World Hindu Foundation of America,39.3305003,-84.42297
World Hindu News,29.7599935,-95.4824236
American Hindus Against Defamation,39.5,-98.35
Americans for Equality PAC,39.5,-98.35
Coalition of Hindu Youth,39.5,-98.35
Forum for Global Leadership of India,39.5,-98.35
Friends of India Society International (USA),39.5,-98.35
Global Hindu Electronic Network,39.5,-98.35
Hindu American Vanaprasthi Network,39.5,-98.35
Hindu Education Foundation,39.5,-98.35
Hindu Gift of Life,39.5,-98.35
Hindu International Council Against Defamation,39.5,-98.35
Hindu Mahasabha of America,39.5,-98.35
Hindu Mandir Executives Conference,39.5,-98.35
Hindu Mandir Priests Conference,39.5,-98.35
Hindu on Campus,39.5,-98.35
Hindus Advancing Human Rights Internationally,39.5,-98.35
Hindu Women's Network,39.5,-98.35
Hindu YUVA,39.5,-98.35
Indian American Community Foundation,39.5,-98.35
Indian Circle for Caring,39.5,-98.35
Indians for Democracy,39.5,-98.35
Indo American Kashmir Forum,39.5,-98.35
Namo NYC,39.5,-98.35
Ram Janma Bhoomi Shilanyas Celebrations Committee of USA,39.5,-98.35
Seva in America,39.5,-98.35
Spiritual Science Research Foundation,39.5,-98.35
